id,acceptedCurrentSpeed,algorithmSpeed,niceAdvertisedHashrate,poolHost,poolPort,algorithm,market,price,limit,payedAmount,availableAmount,rigsCount,poolUser,poolPass,status,DEAD,isDead,pool,nhClient,ts
"e90882cc-7aa1-4497-abb3-a805d54e78ab","0.00130277","0.00130277","0.00200000","eu-de02.miningrigrentals.com","","SHA256ASICBOOST","BTC","0.43940000","0.00200000","0.00029941","0.00096030","37","lona.363194","x","ACTIVE","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"1e6c9144-c0a8-459c-8291-2543063dcd3f","0.00000000","0.00000000","0.02900000","us-east01.miningrigrentals.com","","X11","BTC","0.04880000","0.02900000","0.00009025","0.00089697","0","batri.291932","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"faf96827-9820-4203-b3b1-47f4b1e191c7","0.00012369","0.00012369","0.00010000","us-west01.miningrigrentals.com","","SHA256","BTC","0.70000000","0.00010000","0.00009697","0.00096030","13","lona.329727","x","ACTIVE","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"94da14c2-bd0d-4e5b-bf5f-6dce744c864b","0.00000000","0.00000000","0.15000000","us-west01.miningrigrentals.com","","SCRYPT","BTC","0.00770000","0.15000000","0.00000212","0.00098782","0","batri.354746","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"16179ef2-b5d8-4f92-a964-8853a66963de","0.00000000","0.00000000","0.00300000","us-west01.miningrigrentals.com","","EQUIHASH","BTC","0.72910000","0.00300000","0.00078958","0.00017601","0","batri.320093","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"a41b57db-51b8-4e87-a077-9ff7fa7a9d6d","0.00000000","0.00000000","0.00100000","eu-ru01.miningrigrentals.com","","ETCHASH","BTC","0.00660000","0.00100000","0.00001838","0.00097106","0","batri.299476","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"1c9a6fb1-5a2c-4aaf-a9ae-b06b9e78d9a0","0.00000000","0.00000000","0.00100000","us-west01.miningrigrentals.com","","ETCHASH","BTC","0.00710000","0.00100000","0.00000958","0.00098013","0","batri.299558","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"bd230d37-fdd7-46d1-8d95-35fc94a1905c","0.00000000","0.00000000","0.00100000","eu-ru01.miningrigrentals.com","","ETCHASH","BTC","0.00720000","0.00100000","0.00002697","0.00096221","0","batri.299476","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"13293587-ae4f-427a-8b77-a3e7f874a156","0.00000000","0.00000000","0.00700000","eu-ru01.miningrigrentals.com","","ETCHASH","BTC","0.00720000","0.00700000","0.00000310","0.00098681","0","batri.299476","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"bc90ec61-1c50-405d-a85c-19ff61c105b9","0.00000000","0.00000000","0.00070000","us-west01.miningrigrentals.com","","SHA256","BTC","0.99060000","0.00070000","0.00041446","0.00056277","0","batri.363907","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"4b9cc88e-9437-49e5-b056-f36cb2981dc9","0.00000000","0.00000000","0.00010000","us-west01.miningrigrentals.com","","SHA256","BTC","0.45020000","0.00010000","0.00010651","0.00088021","0","batri.317781","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"c03726b8-6b90-4558-a22a-1c3a0160236f","0.00000000","0.00000000","0.00100000","us-west01.miningrigrentals.com","","KAWPOW","BTC","0.05700000","0.00100000","0.00008039","0.00090713","0","batri.319765","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"c26fec15-73f2-4cbd-957c-fb0fd3307c99","0.00000000","0.00000000","0.00100000","us-west01.miningrigrentals.com","","SHA256ASICBOOST","BTC","0.41560000","0.00100000","0.00034536","0.00063397","0","batri.355562","x","DEAD","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"24d56f4d-f386-4d3d-83af-9fd03d0db0f3","0.00000000","0.00000000","0.00100000","eu-ru01.miningrigrentals.com","","ETCHASH","BTC","0.00690000","0.00100000","0.00000674","0.00098306","0","batri.299476","x","DEAD","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"ebc7a0ca-630e-4a74-bf87-26095c0a6533","0.00000000","0.00000000","0.00100000","us-west01.miningrigrentals.com","","SHA256ASICBOOST","BTC","0.44910000","0.00100000","0.00065005","0.00031986","0","batri.353319","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"4937cc1b-e6e8-403d-b9dc-bd72329682d7","0.00000000","0.00000000","0.00370000","us-west01.miningrigrentals.com","","EQUIHASH","BTC","0.68670000","0.00370000","0.00080062","0.00016462","0","bestsolomining.372495","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"5d19d1b8-763e-485f-9e8e-7740b76e2b0b","0.00000000","0.00000000","0.00010000","us-west01.miningrigrentals.com","","SHA256","BTC","0.45820000","0.00010000","0.00000001","0.00098999","0","batri.299661","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"7bb9993b-30b0-44a3-8f50-44bce52df96f","0.00000000","0.00000000","0.00100000","eu-ru01.miningrigrentals.com","","SHA256ASICBOOST","BTC","0.41780000","0.00100000","0.00102669","0.00093159","0","batri.362286","x","DEAD","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"87009371-6071-4566-abd9-1d55b2bbcef5","0.00000000","0.00000000","0.01200000","us-west01.miningrigrentals.com","","SHA256ASICBOOST","BTC","0.48610000","0.01200000","0.00002763","0.00096152","0","batri.355571","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"45849ed4-f4f9-4525-ba21-38a4ae9fe906","0.00000000","0.00000000","0.00850000","us-west01.miningrigrentals.com","","SHA256ASICBOOST","BTC","0.48610000","0.00850000","0.00015372","0.00083153","0","batri.353319","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"b962d152-5df0-410f-8022-0f75d8ed05d9","0.00000000","0.00000000","0.00250000","eu-ru01.miningrigrentals.com","","SHA256ASICBOOST","BTC","0.46100000","0.00250000","0.00000812","0.00098163","0","batri.362286","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"c24d2b35-4620-485b-8745-57c5eba4bee1","0.00000000","0.00000000","0.01500000","us-west01.miningrigrentals.com","","RANDOMXMONERO","BTC","0.39400000","0.01500000","0.00005976","0.00092840","0","bestsolomining.371846","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"4c98b5ab-12d8-42ab-b071-27b8e9649f89","0.00000000","0.00000000","0.00010000","us-west01.miningrigrentals.com","","RANDOMXMONERO","BTC","0.44830000","0.00010000","0.00083680","0.00070519","0","bestsolomining.371846","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"f6579cc8-7de7-4306-9910-e02fc2aa202f","0.00000000","0.00000000","0.00010000","us-west01.miningrigrentals.com","","SHA256","BTC","0.41000000","0.00010000","0.00019390","0.00079012","0","batri.363907","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"4fe17c61-e2e2-44cd-b92f-74bdce88a058","0.00000000","0.00000000","0.00010000","us-west01.miningrigrentals.com","","SHA256","BTC","0.44000000","0.00010000","0.00016823","0.00081658","0","bestsolomining.369458","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
"e9648b60-6079-46f1-87e6-d5c08e8e4c71","0.00000000","0.00000000","0.00020000","us-west01.miningrigrentals.com","","SHA256","BTC","0.50810000","0.00020000","0.00012526","0.00086088","0","batri.363907","x","CANCELLED","","false","[object Object]","BT","2026-06-07T16:04:15.176Z"
